Index,Date,TA.Charge.BPD,TA.OH.PSIG,TA.Tray4.F,TA.OH.F,TA.RECV.PCT,TA.RECV.PSIG,TA.RECYCLE.TO.CONTACT.BPD,TA.RECYCLE.TO.CONTACT.F,TA.TRAY39.F,TA.TRAY45.F,TA.DP.PSIG,TA.BTM.PSIG,TA.BTM.LEVEL.PCT,TA.BTM.REBOIL.OUT.F,TA.TOP.REBOIL.OUT.F
85,5/27/22 6:00,8694.510742,99.60357666,134.8287964,133.1255035,14.39463615,99.53553009,6497.296387,85.25965118,164.6802826,178.9734039,0.282007843,99.35317993,86.73009491,319.5224915,190.3455658
86,5/26/22 13:00,11942.11328,99.71683502,135.2960205,133.1860352,1.733705044,100.4124451,6504.245605,90.40130615,167.3529053,179.2883301,0.137672424,99.58294678,88.78417969,316.9546509,191.2094269
87,5/26/22 6:00,10546.53125,99.53076172,134.1993713,132.5117493,7.65432024,99.45075989,6483.884766,85.6338501,163.8807831,178.8759003,0.143284991,99.38301086,88.50486755,318.5549927,192.8636322
88,5/25/22 13:00,10744.41016,99.80240631,134.3465118,132.6405792,6.926526546,100.0589981,6469.998047,86.67195892,163.1134033,179.0547791,0.164794922,99.63760376,88.39925385,318.9025879,195.002243
89,5/25/22 6:00,10558.68066,100.0541687,134.2661591,133.0128937,7.782497883,99.82910156,6514.900879,84.63388824,163.4836884,178.8319855,0.205993652,99.84817505,87.45422363,321.0144043,193.21492
90,5/24/22 13:00,12306.86816,99.04483795,134.0868073,132.1370392,15.65899467,99.03182983,6717.017578,91.83847809,165.8028107,179.0459747,0.093345642,98.93344879,87.51477814,320.0914612,193.8905334
91,5/24/22 6:00,11232.87988,100.069313,135.1497345,133.1869965,2.881130695,100.1045532,6700.048828,98.35192871,167.2481232,179.9645081,0.057874169,99.99565125,87.72263336,315.9539795,191.156311
92,5/23/22 13:00,12646.98828,99.96162415,135.0422211,133.0218964,3.190716982,100.2130127,7113.743164,105.7092819,167.5243683,181.6291351,0.092468262,99.86785889,87.77407837,319.9385681,194.6416321
93,5/23/22 6:00,10292.38965,99.42978668,134.6222992,132.7171326,12.91159153,99.31040955,7097.645508,88.856987,164.3463135,178.3386688,0.146408081,99.28035736,87.29619598,316.2485657,189.437561
94,5/22/22 13:00,11069.61133,98.30989838,134.0049744,132.2273254,9.171215057,98.29101563,7121.114258,93.73207855,163.5894775,181.6589508,0.157363892,98.15139771,84.27429199,317.3400879,196.6423035
95,5/22/22 6:00,10455.67676,100.753212,135.8947754,134.1690063,8.762516022,100.5912857,7106.948242,89.478302,166.7060852,180.2673492,0.119022369,100.6793976,89.26277161,311.5615845,193.1045685
96,5/21/22 13:00,11526.30859,100.0505829,135.3607178,133.2619171,2.31666851,100.1865692,6558.140625,90.08509827,166.0677032,181.3108368,0.133979797,99.93569183,88.06360626,317.4719238,197.0074463
97,5/21/22 6:00,10227.375,100.9307861,135.9320068,134.0701294,0.599345028,100.9866409,6526.023438,86.83685303,164.1389008,181.3721771,0.074234009,100.8602905,91.17514038,315.8502197,195.0605316
99,5/20/22 6:00,10136.71094,99.56748962,134.6414185,132.8126068,5.5745368,99.5638504,6571.125977,98.15994263,164.1325989,180.776886,0.243682861,99.32628632,87.3486557,318.6929321,195.2821808
100,5/19/22 13:00,10669.46094,99.04037476,134.4091797,132.6080322,5.281206131,100.1409912,6395.754395,94.92248535,163.626709,180.5633545,0.283819586,98.80966949,88.29803467,315.7397461,195.255127
101,5/19/22 6:00,10786.55371,100.1010132,134.8522949,132.9272461,7.319283009,100.078125,6362.422363,92.71850586,161.2658691,180.9991455,0.241699219,99.84650421,85.80474854,318.9550781,201.296402
102,5/18/22 13:00,11581.10352,100.0679016,135.7330322,133.5225372,3.709232807,101.1851044,6500.744629,91.61631775,167.8024292,180.3039703,0.440979004,99.66926575,80.03158569,315.9963074,190.5110626
103,5/18/22 6:00,9537.251953,100.1117706,135.703537,133.7402344,8.659309387,99.98169708,6496.310547,86.94789124,168.9208984,180.368042,0.471496582,99.64752197,78.7310257,316.9901428,190.041626
104,5/17/22 13:00,10522.31641,98.78253937,134.7961426,132.7970886,12.68769264,99.12567139,6384.499512,96.20513916,171.4750671,181.4805756,0.461425781,98.29627991,77.13439941,323.1481934,192.6461792
105,5/17/22 6:00,11095.1875,99.72953796,135.8215332,133.4375,1.719748259,100.0097733,6435.32959,95.31150818,170.1193237,182.0315552,0.394248962,99.36916351,78.40705872,319.8275757,193.2733154
107,5/16/22 6:00,9409.428711,99.010849,133.926239,132.1223907,7.574734688,99.04161835,6266.768555,94.01548004,160.6878204,182.0511932,0.516738892,98.5118866,79.77376556,323.3937683,197.0135956
108,5/15/22 13:00,9796.81543,99.11476135,133.5913086,132.3120117,8.535398483,99.73953247,6417.552734,93.19351196,160.1937866,180.3622437,0.5859375,98.54347229,78.57788086,322.0202637,196.206665
109,5/15/22 6:00,9767.322266,99.62814331,133.8168335,132.199707,13.91187286,99.62371826,6451.086914,87.98675537,158.9608765,179.8910675,0.491638184,99.13650513,79.97360229,319.8083496,195.8679352
110,5/14/22 13:00,10921.16895,100.4077911,134.4070435,132.8030853,15.93665504,100.8527222,6296.704102,99.31526184,159.8447113,179.6610565,0.330162048,100.07267,83.36131287,318.977356,193.5724945
111,5/14/22 6:00,10748.94922,100.5981445,134.2516632,132.8399658,8.591469765,100.5633011,6543.28125,93.16342926,158.6138458,181.5353394,0.41275087,100.1649857,81.28471375,316.618866,200.5518646
112,5/13/22 13:00,9831.289063,99.98672485,134.2360382,132.5423126,7.569968224,100.4093475,6176.54834,89.03218842,158.5093231,180.9584503,0.612182617,99.38079834,85.28798676,316.7476501,198.1852264
113,5/13/22 6:00,9853.269531,100.4942398,134.7397919,133.1022186,11.66717625,100.4650879,6013.180664,84.47113037,159.5900421,180.9936523,0.494384766,100.0100708,86.81448364,314.4938049,196.6387939
114,5/12/22 13:00,8468.664063,100.0131226,134.6934509,133.0296326,9.776432037,100.3988647,5988.508301,90.73448181,166.2686157,185.6999207,0.520019531,99.48509216,87.80296326,328.0395508,198.8516235
115,5/12/22 6:00,9005.296875,99.83883667,133.8520813,132.0747375,14.08006763,99.75296783,6122.401855,90.77911377,158.4289551,179.5192108,0.439109802,99.41070557,85.24933624,317.8009033,197.0753479
117,5/11/22 6:00,9474.588867,100.157814,133.9321442,132.90065,14.61114693,100.1133194,6192.499512,89.75219727,157.623291,180.1544189,0.232124329,99.9256897,88.78387451,307.0498657,200.048645
118,5/10/22 13:00,10615.66113,98.80142212,136.2182617,134.2956543,3.497637272,99.50561523,6547.449219,105.2154617,171.1029053,180.8959961,0.370780945,98.44207764,87.50152588,310.8093262,191.0400391
119,5/10/22 6:00,9742.263672,100.0831604,136.7340088,134.7747803,2.557934284,100.234993,6492.568359,103.9276199,168.2922516,179.2205811,0.274658203,99.81079102,87.16430664,311.3830566,188.9862061
120,5/9/22 13:00,9978.805664,99.16500092,135.5257111,133.654068,3.932600975,99.87472534,6424.205078,88.36166382,166.7819672,179.4034424,0.311889648,98.83918762,88.81563568,309.610199,191.6027832
121,5/9/22 6:00,9998.745117,100.0895691,135.8642578,134.2037506,15.42380619,99.96084595,6407.213867,91.7277832,166.155304,179.2622375,0.309448242,99.75791931,88.4617157,309.6672668,189.9673004
122,5/8/22 13:00,11945.03223,99.8690033,135.4837036,133.4761505,3.131998539,100.4923553,6503.041504,96.25615692,164.6132355,181.5388947,0.188827515,99.64523315,92.17050934,313.1972351,194.197998
123,5/8/22 6:00,10496.75293,100.037384,135.6736298,133.9249725,14.35330772,100.1633682,6527.029297,94.2048111,165.6503296,181.3588409,0.290374756,99.7580719,87.03939056,314.9829102,194.7050018
125,5/7/22 6:00,9892.594727,99.49188995,134.6038818,133.1241913,16.26568413,99.46472168,6562.060547,89.75993347,161.7783661,180.6085205,0.3279185,99.16397095,86.69809723,311.9771423,197.6147461
126,5/6/22 13:00,9612.109375,99.42131042,134.5181732,132.5121613,3.160900354,100.25737,6449.407715,90.96107483,159.1387482,181.2751923,0.385093689,99.03621674,88.52272034,309.7579956,199.0801544
127,5/6/22 6:00,11029.85742,100.179863,134.7122192,133.2336426,4.349482536,100.1899796,6511.395996,89.58409882,159.0927124,179.9580841,0.26341185,99.93267822,88.63932037,305.6808472,198.9095001
128,5/5/22 13:00,9952.456055,99.73503113,134.9588013,133.1686401,9.558264732,100.1571655,6478.824707,89.92218781,162.1749878,180.8706665,0.304640949,99.43291473,86.28829956,309.0716553,198.6779938
129,5/5/22 6:00,12127.36426,100.5745697,136.2145996,134.3374634,1.656276703,100.7095337,6482.233398,88.7088089,163.6541748,181.0971069,0.118561551,100.4317474,88.02109528,307.4725342,197.8494263
130,5/4/22 13:00,9661.59082,99.60250854,134.8327637,133.1054688,7.935436726,100.0946121,6385.538574,93.1930542,162.0300293,183.4167633,0.358496815,99.25918579,89.0716629,307.8125,200.4150391
131,5/4/22 6:00,8595.250977,98.88703156,134.2136688,132.6055908,6.313789845,99.14785004,6293.928223,90.6343689,160.9503174,181.7712555,0.360107422,98.540802,84.85922241,309.8571777,200.6298828
132,5/3/22 13:00,10269.56152,100.1376343,135.2858582,133.5904541,10.1267252,100.2413712,6320.071289,88.75112915,162.9453735,181.4689331,0.204818636,99.92310333,87.59906006,307.518158,197.8416138
133,5/3/22 6:00,10903.05957,99.47386169,135.8459473,133.7809143,5.052391529,99.57971191,6485.098633,92.21690369,166.4409332,183.0406952,0.150150716,99.32531738,87.15044403,308.2214966,200.0356445
134,5/2/22 13:00,12710.25391,100.1218033,136.319809,134.0110016,4.861071587,101.076889,6710.499512,99.5138855,169.254776,183.8786316,0.134920269,100.0024567,90.33539581,307.623291,200.7298889
135,5/2/22 6:00,12228.34766,99.91836548,136.6821289,134.2956543,2.430860996,100.1403809,7057.769531,100.4852371,167.6971436,178.3142242,0.091552734,99.82681274,88.74053955,307.1166992,188.8122711
136,5/1/22 13:00,10816.46875,99.30007172,135.635376,133.3595581,3.205117226,99.87802887,7108.259766,97.52701569,164.3423004,178.3925018,0.305772483,98.99430084,88.49234009,305.4135437,191.0932159
137,5/1/22 6:00,11650.88965,99.79597473,135.9568939,133.5968018,4.628816605,99.7822113,7103.644043,92.13902283,164.3992767,179.0159607,0.20333305,99.60222626,86.21372986,308.8314209,192.4442444
138,4/30/22 13:00,11024.73535,99.51912689,135.5895996,133.3374023,4.424494267,99.8504715,6497.201172,97.35377502,164.9383545,182.4127197,0.168361679,99.38735962,88.81072998,305.5175781,196.0540771
139,4/30/22 6:00,12494.05664,99.9447403,135.6209106,133.493042,15.6145277,99.89797211,6492.618164,91.28382111,164.6075897,181.1785889,0.237645194,99.68530273,84.20471191,306.0319824,198.7643738
140,4/29/22 13:00,10547.17969,99.24087524,134.7991943,132.8674316,8.749277115,99.78790283,6508.248535,89.31580353,164.5507813,178.6010742,0.276157349,98.9982605,89.5614624,307.03125,191.0675049
141,4/29/22 6:00,11769.21094,100.0900269,135.9405518,133.7463379,1.535129905,100.2319336,6529.155762,96.46606445,166.0614014,179.5898438,0.139129013,100.0053406,88.41552734,306.3903809,192.8924561
142,4/28/22 13:00,11060.66797,99.78643799,135.8303833,133.9752197,5.134148121,100.5485992,6494.489258,98.43057251,168.3384247,180.0513153,0.101685628,99.71224213,89.82604218,309.2468872,191.0218964
143,4/28/22 6:00,11659.18945,101.3083038,136.5534058,134.5716095,7.30160284,101.2625732,6526.644531,93.03653717,165.8599854,179.1381836,0.11747589,101.1908264,89.31064606,307.3961792,193.1178741
144,4/27/22 13:00,10258.18164,99.67464447,135.0499878,133.38797,2.786782026,100.0410614,6519.217773,98.08947754,163.8885498,178.8675079,0.196838379,99.4658432,90.06235504,307.1560669,190.4004517
145,4/27/22 6:00,10315.80859,100.2288971,135.0316162,133.4156799,13.08913231,100.1035995,6499.594238,93.08319092,162.0170898,179.1300812,0.166546866,100.0835876,88.12506866,310.3618469,194.0812378
146,4/26/22 13:00,11158.58496,99.57504272,135.0463867,133.2122803,1.162857056,100.2441406,6496.488281,94.19708252,161.9842529,178.0944977,0.156731293,99.41253662,86.99951172,304.0161133,195.5230713
147,4/26/22 6:00,10870.375,99.95269775,134.3292236,132.9418793,10.40118122,99.7268219,6522.660645,91.27268982,158.8775635,178.6153259,0.135671794,99.81817627,89.26572418,306.6734619,195.4669952
148,4/25/22 13:00,11584.25879,99.95040894,135.2874756,133.5876465,12.24382877,100.012207,6606.487305,89.76898193,162.9974365,178.1585693,0.288391113,99.63912964,87.42523193,305.4626465,192.7673492
149,4/25/22 6:00,9881.820313,99.69863892,135.4522705,133.4655762,14.85455418,99.70245361,6555.76416,89.15252686,163.0767822,178.7963867,0.276947021,99.45144653,85.80322266,306.2255859,193.0847321
150,4/24/22 13:00,9516.012695,100.5119171,135.9337769,134.2910614,7.883363247,100.6125641,6610.995605,91.35002136,162.6314392,178.489563,0.214109302,100.2977753,87.10179138,301.1521301,190.906662
151,4/24/22 6:00,8240.210938,95.44373322,131.7962646,130.7006836,72.36157227,95.19500732,6610.64502,82.95135498,160.6384277,179.598999,0.352478027,95.02029419,84.50623322,307.6965332,195.7427979
152,4/23/22 13:00,10239.97559,99.7245636,135.3487701,133.8276062,0.797086775,100.2840805,6518.723145,93.98389435,164.4902802,181.7832642,0.26059705,99.49956512,88.07528687,307.7492065,195.8396606
