Index,Date,RX.TB.RECYCLE.CHARGE.BPD,RX.TB.RECYCLE.CHARGE.PCT,RX.NORTH.TC.CHARGE.BPD,RX.NORTH.TC.CHARGE.CV.PCT,RX.NORTH.FLUSH.PSIG,RX.NORTH.OUT.F,RX.SOUTH.TA.RECYCLE.CHARGE.BPD,RX.SOUTH.TA.RECYCLE.CHARGE.PCT,RX.SOUTH.TC.CHARGE.BPD,RX.SOUTH.TC.CHARGE.CV.PCT,RX.SOUTH.FLUSH.PSIG,RX.SOUTH.OUT.F,RX.SOUTH.WATERRETURN.F,RX.SOUTH.WATERRETURN.PH,RX.OUT.DELTA.F
34,6/28/22 13:00,2411.258545,18,2786.884033,19.21240807,143.3927612,101.4675446,6555.267578,52.08658218,2711.228516,18.70956612,140.0654449,104.6317062,85.51000214,6.551119804,-3.131243467
35,6/28/22 6:00,2437.947021,18,2858.884033,19.90997124,134.7174988,97.3780899,6554.087402,52.11122131,2683.865479,18.02689171,138.376358,100.4587326,82.23266602,6.557085037,-3.078782558
36,6/27/22 13:00,2422,18,2938.004883,21.01571274,143.1503296,98.98712921,6503.140625,51.9441452,2821.330322,19.03441048,143.8804626,101.953125,83.40240479,6.551696301,-2.980693579
37,6/27/22 6:00,2409.585449,18,2626.33252,17.14326477,142.0799255,94.58007813,6007.193848,49.95649338,2469.414795,14.10464859,142.1379089,96.86798096,79.9395752,6.557859421,-2.302619934
38,6/26/22 13:00,2245.21875,18,1952.06543,11.13167095,148.4653473,97.26679993,6792.314453,52.8394928,1696.823242,6.998189926,144.7052612,98.75114441,82.99604034,6.645718098,-1.477534175
41,6/18/22 13:00,2119.016357,18,2303.122314,14.39867687,147.4038391,97.19226074,6341.057617,50.70606995,2283.112061,20.57901955,144.9436188,100.1117477,84.23947906,6.581310272,-2.96392417
42,6/18/22 6:00,2261.071777,18,1977.533936,11.09504318,143.7103271,93.93091583,6428.103516,50.33938599,1941.723877,16.26311111,141.6492462,96.96642303,81.37293243,6.677844048,-3.024963856
43,6/17/22 13:00,2053.390381,18,2807.137207,21,152.6667328,94.38477325,6004.144531,49.28047562,2300.784424,22,151.3773651,94.95239258,79.41030121,6.685007095,-0.539097369
44,6/17/22 6:00,2240.005615,18,2707.477539,18.75357628,142.4204559,95.84503174,6417.810059,50.27470779,2640.859375,24.73018837,141.0522461,98.9115448,81.55263519,6.70771265,-3.038712978
45,6/16/22 13:00,2070.442139,18,2579.443359,17.81868362,146.2863922,98.57613373,6389.613281,50.76256943,2549.594727,24.35295486,145.0395508,101.5394669,84.23454285,6.681070805,-2.989444971
46,6/16/22 6:00,2253.460693,18,2550.209717,17.05924606,145.2463074,97.86347198,6396.830078,50.66897202,2509.793701,23.1409874,143.9758301,101.0620956,83.89717102,6.682864189,-3.185462475
47,6/15/22 13:00,2141.072021,18,2602.367188,17.77129173,143.9064026,100.0182648,6392.186523,51.24916077,2565.679688,23.4346962,142.8760529,103.0310135,85.78420258,6.471432686,-3.070887804
48,6/15/22 6:00,2243.367188,18,2659.643799,18.41181183,141.6058807,99.12623596,6421.084473,51.18344879,2590.644043,24.24606323,141.0142212,102.1526108,85.35837555,6.471451759,-2.948812723
49,6/14/22 13:00,2139.708008,18,2677.813232,18.13759041,143.8217773,100.9801254,6386.416016,51.43743515,2614.720703,24.01408768,142.5445557,103.9287338,86.68019867,6.279345512,-2.998595238
50,6/14/22 6:00,2277.252197,18,2618.276123,17.71930313,143.1706085,99.2365036,6411.361816,51.19771957,2544.51709,23.4845829,142.3076019,102.2111511,85.20032501,6.368430138,-2.973608971
51,6/13/22 13:00,2133.403809,18,2610.001465,16.89112663,141.6730957,98.78133392,6411.503906,51.14854431,2568.910889,22.94277954,141.1151886,101.7044144,84.95318604,6.483463287,-2.962960958
52,6/13/22 6:00,2239.379883,18,2639.690186,17.39435768,144.9257507,95.49993134,6369.61084,51.18305969,2635.688721,23.49254799,143.6252594,98.65011597,81.68983459,6.405617237,-3.200973988
53,6/12/22 13:00,2045.631348,17,2578.399902,16.98332405,140.9957886,99.36299896,6410.389648,51.19326019,2575.736328,23.07066917,140.3605194,102.3720398,85.60943604,6.450201988,-3.067991734
54,6/12/22 6:00,2234.088135,18,2601.372314,17.43214417,145.2476501,95.76263428,6435.640625,51.49347687,2590.296143,23.44186783,144.2202301,98.77024841,82.38515472,6.469890594,-3.023092508
55,6/11/22 13:00,2046.743774,18,2581.673096,16.91041183,143.4448242,98.27006531,6513.89502,51.65528488,2590.048828,23.14177704,142.7454681,101.2329178,84.89685059,6.501430988,-2.939703941
56,6/11/22 6:00,2222.714111,18,2584.404541,17.15908241,144.026947,94.63816071,6489.598633,51.61462402,2615.592041,23.73470116,143.9341278,97.8554306,82.12890625,6.449317455,-3.158396959
57,6/10/22 13:00,2086.920166,18,2867.155518,20.48583603,143.2365417,101.3132782,6483.445313,51.93318939,2826.051514,26.36027145,142.2597198,104.478157,86.36474609,6.439852238,-2.994385004
58,6/10/22 6:00,2267.407227,18,2854.297607,20.32888794,143.2492523,97.03105164,6464.08252,51.9009552,2794.691162,26.07392883,142.3093109,100.0846329,82.54465485,6.515202999,-3.000296354
59,6/9/22 13:00,2072.158691,17,2946.44043,21.3508358,132.0743561,102.7206421,6491.321289,51.82204437,2888.597656,27.34360504,132.1430206,105.796814,88.23699951,6.495553017,-3.067321777
60,6/9/22 6:00,2312.919434,18,2765.711914,18.87981796,143.907547,97.77679443,6530.818848,51.50893402,2717.571289,24.90542984,143.3563232,100.6210327,82.29065704,6.414021492,-2.880273342
61,6/8/22 13:00,2233.930176,18,2425.138428,15.28831673,138.9230652,98.86390686,6479.42041,51.41536331,2443.010498,21.82284355,139.4317627,101.8712387,83.82415771,6.478690147,-2.953058243
62,6/8/22 6:00,2199.946533,18,2371.224854,15.30547428,143.1332855,97.20507813,6506.571777,51.60535049,2484.528564,22.15885735,142.3749237,100.1074295,83.35840607,6.5184412,-3.036710262
63,6/7/22 13:00,2130.397949,18,2331.592773,14.34719276,145.3338623,99.27093506,6295.947754,50.67512894,2456.140625,21.6562233,144.2398071,102.2420197,86.22787476,6.529280186,-2.990893602
64,6/7/22 6:00,2259.688721,18,2131.212402,12.5739336,147.3016663,92.83950806,6382.277832,50.87861633,2251.687744,19.65883255,145.8515167,95.6388855,80.71792603,6.528866291,-2.81826067
68,6/5/22 6:00,2175.009277,16,2004.019531,10.7958622,146.4546204,93.29193115,6222.060547,50.04842377,1963.232788,16.29395676,145.375824,96.22039795,80.87860107,6.453829288,-2.919583559
69,6/4/22 13:00,2115.457764,18,1931.702881,10.28692055,144.5147858,92.39896393,6441.552246,51.23181915,2069.997314,17.01994705,144.7300568,95.29157257,80.75391388,6.398098946,-2.919117928
70,6/4/22 6:00,2262.741211,18,2270.757568,14.15588856,143.6021729,91.24267578,6514.708496,51.56745529,2282.466309,19.99349403,142.9984436,94.22981262,77.84576416,6.431271553,-2.969673157
71,6/3/22 13:00,2460.409668,22,2289.135498,14.212327,143.5979156,95.14572144,6523.021973,51.5356636,2300.644043,19.52183533,143.4586792,98.1516037,81.37359619,6.454801559,-3.011666059
73,6/2/22 13:00,2418.255859,19,2532.720703,16.43538094,146.3331299,94.80438232,6577.88916,52.40869904,2609.684082,22.93844986,145.5064697,97.61657715,80.64300537,6.364925385,-2.899341345
74,6/2/22 6:00,2451.281006,19,2503.586182,15.92943382,147.3503113,92.0930481,6638.566895,52.24412155,2545.605713,21.92827225,146.2978363,95.11863708,78.65753174,6.370697498,-3.03789711
75,6/1/22 13:00,2192.883301,19,2490.019531,16.17871094,145.5151215,98.22222137,6592.466309,52.29319,2578.460693,22.82990074,144.98349,101.1724396,84.63778687,6.334450722,-3.014194489
76,6/1/22 6:00,2284.333008,19,2579.145752,16.99114799,146.9027863,97.76164246,6498.400391,52.00481415,2680.656006,23.90784264,146.6752319,100.8208237,84.55587006,6.378363609,-3.019512653
77,5/31/22 13:00,2160.401855,18,2614.828857,17.23836327,144.8743896,100.1559525,6629.312988,51.86197281,2681.753174,23.99172211,144.2344666,103.2147217,86.53381348,6.35902071,-3.044717312
78,5/31/22 6:00,2240.265625,18,2579.789307,16.93562317,143.3300018,99.25049591,6591.496582,52.23796463,2743.881836,24.20777702,142.8678589,102.2509766,85.68756104,6.369089603,-3.007201195
79,5/30/22 13:00,2136.35083,18,2583.615723,16.9388752,146.1032867,96.21312714,6608.142578,52.01594162,2647.20166,23.5165081,145.8693237,98.98789215,82.04335785,6.310898304,-2.826091051
80,5/30/22 6:00,2277.679443,17,2582.561035,17.09225655,144.151947,96.71437836,6610.890625,52.12844086,2673.48877,23.91015625,144.0429688,99.63129425,83.3783493,6.381047726,-2.927591324
81,5/29/22 13:00,2027.046143,17,2723.452393,18.81155205,143.5092316,98.91421509,6351.248047,51.0246582,2725.641113,24.75287056,143.3283539,101.8984528,84.51335144,6.365589142,-3.046913624
82,5/28/22 13:00,2075.564697,19,2785.030029,19.67518616,142.2103882,99.9508667,6977.491211,54.11808395,2851.450684,26.6661396,142.7093506,102.8210449,85.06409454,6.320473671,-2.887336254
83,5/28/22 6:00,2291.18042,19,2826.101074,19.61405373,141.1979675,98.04505157,6977.87207,53.9917717,2896.810303,26.78791237,141.5176392,101.1053543,83.53455353,6.360944748,-3.034240484
84,5/27/22 13:00,2068.702637,18,2848.762451,20.37824059,142.3544617,100.1391678,6494.108887,51.86203384,2862.562012,26.90189934,142.5567627,103.1300964,84.90539551,6.41336298,-2.966450691
85,5/27/22 6:00,2361.387695,18,2852.025635,19.96507835,146.1537628,90.98816681,6497.296387,51.80857086,2755.490479,25.22041702,146.7253418,94.08203888,76.68477631,6.455343723,-3.07896018
86,5/26/22 13:00,2135.346191,18,2606.547852,17.31679344,143.1470947,91.9115448,6504.245605,51.74649429,2616.009277,23.41234207,143.5909271,94.89028931,77.7696228,6.444358349,-2.98696804
87,5/26/22 6:00,2317.971191,18,2640.731445,17.58704185,143.1478577,89.12934113,6483.884766,51.7705307,2622.133301,22.95005417,143.6433716,92.19734192,75.95703125,6.459600449,-3.074079752
