,Date,TC_Tray7_Temp,TC_Tray40_Temp,TC_Charge_Temp,TC_Overhead_Pressure,TC_Overhead_Reciever_Temp,TC_Tray24_Temp,TC_Differential_Pressure,TC_Bottom_Pressure,TC_Reboil_Out_Temp,TC_Reboil_Condensor_lbs
1363,2020-04-18 06:00:00,191.0368347,202.7869263,201.0193024,239.601593,159.664917,164.39534,2.852550745,242.4303284,206.1706696,7436.558105
1364,2020-04-17 13:00:00,192.2214508,204.0596161,201.2024078,243.7887115,168.2678375,164.6344299,2.974258423,246.9329834,206.9824219,7876.379883
1365,2020-04-17 06:00:00,191.7517242,203.0906677,201.6906891,242.0781097,167.2088623,166.7627106,2.728881836,244.8425446,206.9763336,7566.286621
1366,2020-04-16 13:00:00,189.2957916,200.504303,199.0692139,233.1404877,165.098175,167.3240509,2.839828491,235.9390259,204.22789,7242.178711
1367,2020-04-16 06:00:00,193.536377,204.7119141,199.8800201,246.4677277,167.7255707,165.9910431,2.886811256,249.3759613,208.1115875,6931.887207
1368,2020-04-15 13:00:00,179.2304382,190.7315369,189.2443848,208.8722839,157.3417206,156.8088989,2.818267345,211.6781921,206.7082062,8094.750488
1369,2020-04-15 06:00:00,187.6266327,198.71138,196.2463531,229.6398468,167.5871735,159.3234711,2.966782808,232.5820923,205.8027802,8347.400391
1370,2020-04-14 13:00:00,191.5034943,202.6993866,197.747818,240.2306519,170.5913849,163.7404175,2.867680311,243.0730438,205.8863525,7313.173828
1371,2020-04-14 06:00:00,189.6956177,201.4692688,181.8001099,236.1268463,168.888382,161.1621704,2.92423892,239.0777435,204.115509,6834.311523
1372,2020-04-13 13:00:00,192.3860626,204.2501526,157.057785,241.5236053,172.2366486,166.3644104,2.951852322,244.4856415,206.0633545,6179.620605
1373,2020-04-13 06:00:00,193.3041382,204.6910248,165.4876709,244.612915,173.6633453,163.4433289,2.944923401,247.543335,206.8847656,6278.050293
1374,2020-04-12 13:00:00,191.2884064,202.3968658,176.6340942,237.919632,171.9818115,168.6151886,2.752110004,240.7281342,205.1391602,5623.763184
1375,2020-04-12 06:00:00,190.5012665,201.5231018,186.7466125,239.0479126,167.6255341,164.1295471,2.644805908,241.7793427,204.7834015,5796.306152
1376,2020-04-11 13:00:00,191.6477814,202.1959229,189.5019531,239.5846863,171.2127686,169.1921539,2.592987061,242.1699219,205.8899078,5389.490234
1377,2020-04-11 06:00:00,194.7362518,204.5589447,195.2355804,249.1117401,174.5890045,169.8431396,2.534769058,251.6237488,208.4167633,5412.479492
1378,2020-04-10 13:00:00,192.2389984,203.2225952,166.8130341,243.0990448,171.0709381,168.7855835,2.635013103,245.6726227,206.3255615,4986.737793
1379,2020-04-10 06:00:00,192.0111847,202.3036041,181.593338,240.8031158,170.6904449,164.351059,2.595896721,243.1910095,205.3409882,5418.094238
1380,2020-04-09 13:00:00,192.1435394,202.9838409,167.234024,242.1843414,169.9429169,168.1733704,2.586508036,244.8452454,206.0779572,4834.214844
