Date,TA.Charge.BPD,TA.OH.PSIG,TA.Tray4.F,TA.OH.F,TA.RECV.PCT,TA.RECV.PSIG,TA.REFLUX.BPD,TA.RECYCLE.TO.CONTACT.BPD,TA.RECYCLE.TO.CONTACT.F,TA.TRAY39.F,TA.TRAY45.F,TA.DP.PSIG,TA.BTM.PSIG,TA.BTM.LEVEL.PCT,TA.BTM.REBOIL.OUT.F,TA.TOP.REBOIL.OUT.F
12/28/2018 22:53,13127.94531,96.97494507,134.8144531,132.9839325,18.70474243,99.81689453,5824.332031,6372.828125,76.84351349,163.2843018,175.4269257,5.127217293,102.1316528,73.68011475,318.5302734,224.2126617
12/28/2018 22:44,14407.04395,98.01081848,135.4919434,133.6730957,17.28693962,100.6744461,5827.323242,6201.652344,76.78985596,163.3026123,176.3305664,5.17549324,103.049469,75.82855225,315.6311035,219.8974609
12/28/2018 22:43,14551.00977,97.88256836,135.4492188,134.0118408,17.07537842,100.6317215,5865.694336,6405.13916,76.78985596,163.3453369,176.0162354,5.199828625,103.2371521,76.40686035,315.5273438,219.8791656
12/28/2018 22:34,14016.64746,97.34344482,135.1745605,133.3557129,19.94553566,100.0366211,5816.492676,6429.609863,76.48620605,163.0096436,175.4119873,5.136100769,102.4566727,75.23040771,316.7480469,222.6623688
12/28/2018 22:32,13398.49902,97.16949463,134.8358154,133.3740234,20.31093407,99.88709259,5891.172363,6355.128906,76.52893066,163.0310059,175.0579834,5.115516663,102.2758484,75.35858154,317.0532227,223.2605133
12/28/2018 22:24,12937.28613,96.63162231,134.5581055,133.013916,20.83542824,99.35760498,5872.708984,6276.015137,76.74713135,163.0310059,175.0579834,5.110931396,101.7745972,74.93133545,317.7612305,224.2492828
12/28/2018 22:21,13162.70508,96.58584595,134.475708,133.0352783,20.40648842,99.34234619,5835.162598,6206.285156,76.70440674,162.9882813,174.72229,5.179595947,101.7494202,74.05395508,318.0236816,224.5605469
12/28/2018 22:13,13497.58887,96.88930511,134.7930908,133.013916,18.64981842,99.63684845,5849.087402,6328.995117,77.03094482,163.2629395,175.2868805,5.264282227,102.2369461,73.19641113,318.3654785,222.747818
12/28/2018 22:11,13238.70898,97.00698853,135.0708008,132.983902,18.29171753,99.75128174,5848.262695,6286.943359,77.00958252,163.2843018,175.3030396,5.115509033,102.1316528,73.5458374,318.0847168,222.0458984
12/28/2018 22:02,14793.80762,98.36196899,135.7696533,133.9478455,16.52378464,101.0101395,5826.084961,6411.672363,76.89019012,163.3453369,175.6439209,5.255126953,103.66745,76.13983154,315.5883789,218.371582
12/28/2018 22:01,14726.88281,98.26355743,135.748291,133.9477539,16.97385979,100.9277344,5812.160156,6452.773926,76.6418457,163.3239746,175.6622314,5.074302673,103.4248352,76.05743408,315.6066895,218.3105469
12/28/2018 21:52,14164.76465,97.4647522,135.1531982,133.4594727,20.21693611,100.177002,5831.861816,6338.379395,76.74713135,162.8173218,174.7648926,5.165863037,102.6191711,74.97711182,316.8640137,221.5087891
12/28/2018 21:50,13610.16895,97.20840454,134.9395752,133.1390381,20.82810402,99.949646,5824.744141,6390.053223,76.44348145,162.77771,174.4690094,5.271148682,102.4795532,75.2822876,316.8884277,222.1252594
12/28/2018 21:42,13741.94336,96.89026642,134.6832275,132.9041595,21.06938553,99.70245361,5832.171387,6316.046875,76.50756836,162.8601074,174.5330811,5.296325684,102.1865845,74.88098145,317.2485352,222.8027344
12/28/2018 21:39,13182.67871,96.63848877,134.6832275,132.8826904,21.50925064,99.38812256,5832.893066,6320.323242,76.87530518,162.878418,174.5513916,5.172729492,101.7929077,74.63989258,317.5964355,223.5046539
12/28/2018 21:31,13455.04785,96.58813477,134.7045898,132.9246368,20.47272682,99.26757813,5845.787109,6235.626465,76.87294769,162.8599243,174.9145355,5.289459229,101.802063,73.95324707,317.956543,222.9248047
12/28/2018 21:28,13313.6748,96.72775269,134.6618652,132.9040527,19.48995972,99.46746826,5828.044922,6287.0625,77.17895508,163.1530762,174.9053955,5.055999756,101.7837524,74.06768799,318.6035156,222.3083649
12/28/2018 21:20,14324.81348,97.95684814,135.4278107,133.8378906,16.48696899,100.6134109,5839.185059,6351.208984,77.15911865,163.4256134,175.4516602,5.005645752,102.9510574,75.26245117,316.1315918,217.9931641
12/28/2018 21:18,14559.83008,98.27270508,135.9130859,133.8165283,15.96837997,100.982666,5837.431641,6269.956055,77.15911865,163.4490967,175.7446289,5.124664307,103.3973694,76.01928711,315.2770996,217.0471344
12/28/2018 21:09,14683.30371,97.82180786,135.2783203,133.581543,19.11717606,100.4943848,5865.488281,6201.771484,76.87024689,162.878418,174.8657227,5.22078371,103.0654907,76.02539063,315.6005859,218.9880524
12/28/2018 21:08,14368.39258,97.71652222,135.3393555,133.6029053,19.41452408,100.424202,5852.078613,6239.427734,76.86458588,162.8601074,174.5513916,5.218505859,102.9373169,76.16577148,315.9240723,219.2932281
12/28/2018 20:59,12986.57227,96.95663452,134.765625,132.9864502,21.4159832,99.70855713,5823.506348,6377.580078,76.93939209,162.5640869,174.2746277,5.252838135,102.2232056,75.0213623,316.9006348,222.1435547
12/28/2018 20:57,12956.48242,96.77810669,134.765625,133.0505371,21.72704506,99.50714111,5841.45459,6400.625,77.02484131,162.2497559,174.3011475,5.186462402,101.9737244,75.15411377,317.1630859,222.4731445
12/28/2018 20:49,13285.66016,96.30661011,134.5306396,132.4981689,21.37184143,99.07073975,5854.554199,6195.832031,77.13012695,162.3718262,174.1088867,5.243682861,101.6052246,74.20043945,318.6218262,223.7915039
12/28/2018 20:46,12883.07227,96.32299042,134.5123291,132.8369141,20.70707893,99.05701447,5855.586426,6414.642578,77.16481781,162.6678467,174.4445953,5.039978027,101.3763504,73.68011475,318.9453125,223.8891602
12/28/2018 20:38,13689.54492,97.19696045,135.2935791,133.3190918,17.50538635,99.87640381,5817.523926,6315.453125,77.42386627,163.1469727,175.1922607,5.072021484,102.3101883,73.9654541,317.5415039,220.2575836
12/28/2018 20:36,13889.02246,97.6272583,135.3118896,133.6181641,16.48340225,100.3082352,5826.70459,6341.824219,77.15148926,163.2080078,175.5279541,5.218505859,102.8251648,74.68414307,316.2841797,218.46315
12/28/2018 20:27,14831.94043,98.3505249,135.7971191,134.0393066,16.47456169,101.02845,5873.946289,6314.858887,77.23693848,162.9364014,174.9609528,5.055999756,103.4133911,76.66778564,315.411377,217.8650055
12/28/2018 20:26,14372.02539,98.18344116,135.5010986,133.7219238,17.40340424,100.8483887,5835.47168,6199.870605,77.21557617,162.9547119,175.183197,5.193328857,103.3859253,76.44500732,315.6982422,218.4204102
12/28/2018 20:17,13739.34863,97.18551636,134.8419189,133.0452423,20.49273872,99.91455078,5845.580566,6368.67041,76.86920166,162.3657227,174.3560791,5.170448303,102.355957,75.34484863,316.8518066,221.4355469
12/28/2018 20:15,13460.23535,96.96807861,134.8632813,133.0657959,20.8136158,99.74212646,5848.881348,6302.504883,76.89056396,162.4084473,174.3957672,5.31463623,102.2506714,75.1159668,316.9128418,222.1130524
12/28/2018 20:07,13088.5166,96.50802612,134.5457458,132.723999,20.79391289,99.28894806,5833.202637,6314.502441,77.17314911,162.4084473,174.4354248,5.197906494,101.7196655,74.06158447,318.1335449,222.7722321
12/28/2018 20:04,13148.69727,96.59042358,134.5245361,132.723999,20.24473763,99.30419922,5865.694336,6271.619141,77.17285156,162.701416,174.4568024,5.110931396,101.6372681,73.73657227,318.8415527,222.8149414
12/28/2018 19:56,13717.04102,97.35488892,135.2661133,133.0700378,17.4709549,100.0885086,5864.972656,6208.54248,77.25830078,163.0256348,175.5004883,5.211639404,102.596283,73.76861572,317.2790527,219.8425446
12/28/2018 19:53,14039.7334,97.91565704,135.5621338,133.7646484,16.30909348,100.6408691,5831.345703,6337.310059,77.25830078,163.3728027,175.793457,5.319221497,103.175354,75.48522949,315.2832031,217.6147461
12/28/2018 19:46,14579.54395,98.36883545,135.8795166,134.0820313,16.76057816,101.0375977,5863.631836,6354.653809,76.95465088,163.0157471,175.479126,5.227661133,103.5484314,76.66778564,314.9414063,217.9626617
12/28/2018 19:43,14621.82617,97.97286987,135.5010986,133.782959,18.34826279,100.6622391,5831.964844,6178.250488,76.97601318,162.701416,175.4342651,5.257423401,103.2875061,76.24816895,315.2554626,219.2016602
12/28/2018 19:36,13887.72656,97.29766846,134.9060059,133.1705627,20.57478523,99.97864532,5811.953613,6369.740234,77.05993652,162.4906464,174.8108063,5.20476532,102.5047302,75.35858154,316.7480469,222.6257477
12/28/2018 19:33,12931.83887,97.11914063,134.6496582,133.1878662,20.85765839,99.8504715,5860.950195,6357.504395,77.03857422,162.4908447,174.5178375,5.223083496,102.3330688,75.12969971,316.7480469,223.5534821
12/28/2018 19:26,12992.01953,96.49678802,134.3260345,132.9131622,21.28964615,99.29669189,5853.626465,6224.578613,77.38576508,162.6334686,174.6222687,5.170440674,101.7174606,73.97155762,317.9865417,225.7193756
